# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: gm_csgoagency
# Exported by: Sc00by
setting:	replacespawns 1
ttt_random_weapon	-426.067841 1925.265869 513.209106	1.773 4.773 -92.832
ttt_random_weapon	-447.683319 1861.017456 513.230591	1.530 4.756 -93.388
ttt_random_weapon	-545.235413 1870.626465 513.196899	1.910 4.782 -92.516
ttt_random_weapon	-543.777283 1934.170898 513.223328	1.612 4.762 -93.200
ttt_random_weapon	-651.729980 1934.942017 513.199158	1.885 4.781 -92.575
ttt_random_weapon	-652.697205 1863.191284 513.204773	1.822 4.776 -92.719
ttt_random_weapon	-742.280457 1866.619507 513.226501	1.576 4.759 -93.281
ttt_random_weapon	-744.770325 1943.630371 513.220581	1.643 4.764 -93.128
ttt_random_weapon	-834.473572 1870.215210 513.190308	1.985 4.788 -92.346
ttt_random_weapon	-834.732422 1920.698975 513.217041	1.683 4.767 -93.037
ttt_random_weapon	-929.167236 1920.307983 513.216553	1.689 4.767 -93.024
ttt_random_weapon	-931.333740 1856.684692 513.226135	1.580 4.759 -93.273
ttt_random_weapon	-985.167664 1857.820435 513.235168	1.478 4.751 -93.506
ttt_random_weapon	-986.416321 1912.806152 513.230835	1.527 4.755 -93.395
ttt_random_weapon	-1041.839111 1948.541626 513.747742	-2.035 -131.896 85.368
ttt_random_weapon	-1059.157593 1860.394531 513.196899	1.910 4.782 -92.516
ttt_random_weapon	-1427.897461 1232.270386 553.445312	1.928 4.718 -92.477
ttt_random_weapon	-1430.096436 1400.179077 553.457336	1.793 4.710 -92.786
ttt_random_weapon	-1538.652100 882.907593 513.199158	1.885 4.781 -92.575
ttt_random_weapon	-478.579895 595.305237 513.227112	1.569 4.759 -93.298
ttt_random_weapon	-506.269592 573.405334 513.204102	1.829 4.777 -92.702
ttt_random_weapon	-620.230530 196.063324 321.214844	1.687 5.718 -93.112
ttt_random_weapon	-667.697327 212.816177 321.221161	1.637 7.791 -93.143
ttt_random_weapon	-1461.322876 550.948669 321.193848	1.944 4.669 -92.438
ttt_random_weapon	-1263.534424 -235.307510 321.210266	1.760 4.772 -92.862
ttt_random_weapon	-170.996399 -865.570923 321.212524	1.734 4.705 -92.920
ttt_random_weapon	-237.494598 -904.471924 321.204132	1.829 4.713 -92.703
ttt_random_weapon	-383.097260 -1053.597900 321.234955	1.480 4.672 -93.501
ttt_random_weapon	-420.673615 -1092.245972 321.198456	1.893 4.717 -92.557
ttt_random_weapon	-470.823242 -1130.228516 321.206085	1.807 4.711 -92.753
ttt_random_weapon	737.763550 -1637.124146 411.219727	1.653 4.697 -93.107
ttt_random_weapon	648.220154 -1693.796265 411.213043	1.728 4.704 -92.934
ttt_random_weapon	529.995789 -1772.206909 411.207916	1.786 4.710 -92.802
ttt_random_weapon	454.325378 -1828.340820 411.228333	1.555 4.684 -93.330
ttt_random_weapon	417.538055 -1753.101807 411.212494	1.734 4.705 -92.920
ttt_random_weapon	459.177399 -1654.288208 411.219727	1.653 4.697 -93.107
ttt_random_weapon	519.380066 -1615.814453 411.220978	1.638 4.694 -93.139
ttt_random_weapon	579.448303 -1574.086914 411.202759	1.844 4.714 -92.668
