# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: gm_csgozoo
# Exported by: Sc00by
setting:	replacespawns 1
ttt_random_weapon	-1644.656006 2680.752441 -126.808128	1.967 4.217 -92.387
ttt_random_weapon	-1582.045044 2587.729736 -126.289909	-1.840 10.401 85.811
ttt_random_weapon	-1504.944214 2544.915283 -126.763580	1.464 4.207 -93.539
ttt_random_weapon	-1540.336548 2464.286865 -126.803833	1.837 4.094 -92.591
ttt_random_weapon	-1594.164062 2411.338379 -126.775627	1.600 4.212 -93.227
ttt_random_weapon	-1635.250854 2425.705811 -125.250633	-4.399 -0.331 -6.367
ttt_random_weapon	-1693.086060 2564.546143 -126.768669	1.521 4.209 -93.407
ttt_random_weapon	-1693.480713 2718.502441 -126.818344	2.081 4.215 -92.124
ttt_random_weapon	-1745.187622 2661.562500 -126.798775	1.861 4.218 -92.629
ttt_random_weapon	-1723.410278 2490.247803 -126.278854	-2.390 -18.262 86.335
ttt_random_weapon	-1704.115112 2430.516357 -126.805626	1.938 4.218 -92.452
ttt_random_weapon	-1639.581421 2393.269775 -126.798065	1.853 4.218 -92.647
ttt_random_weapon	-1593.983032 2434.014404 -125.224564	-4.019 -1.671 -16.925
ttt_random_weapon	-1556.176147 2516.762939 -126.754265	1.254 8.733 -94.415
ttt_random_weapon	-1491.244751 2603.392090 -126.804817	1.929 4.218 -92.473
ttt_random_weapon	-1452.856323 2549.240234 -126.814201	1.938 4.093 -92.342
ttt_random_weapon	-1506.752197 2429.080078 -126.789818	1.687 3.937 -92.944
ttt_random_weapon	-1553.004639 2365.417480 -126.767616	1.171 3.951 -93.823
ttt_random_weapon	-1574.797607 2372.168945 -126.260963	-1.933 16.377 85.135
ttt_random_weapon	-1614.271973 2456.184082 -126.779495	1.644 4.213 -93.127
ttt_random_weapon	-1645.285645 2560.133301 -126.827164	1.248 1.465 -93.426
ttt_random_weapon	4405.283203 2291.053467 161.195587	1.925 4.924 -92.483
ttt_random_weapon	4309.054199 2289.227783 161.191452	1.972 4.920 -92.376
ttt_random_weapon	4181.660645 2290.763184 161.223083	1.615 4.920 -93.193
ttt_random_weapon	4103.204590 2293.366699 161.208115	1.784 4.928 -92.806
ttt_random_weapon	4038.603516 2291.824463 161.204315	1.827 4.929 -92.708
ttt_random_weapon	4033.870361 2094.770752 161.226273	1.579 4.918 -93.276
ttt_random_weapon	4100.227539 2098.884033 161.210403	1.758 4.637 -92.865
ttt_random_weapon	4168.526855 2099.438477 161.232132	1.503 4.491 -93.438
ttt_random_weapon	4280.554688 2101.691162 161.202972	1.842 4.927 -92.673
ttt_random_weapon	4431.693359 2101.096924 161.215256	1.703 4.925 -92.991
ttt_random_weapon	4270.339844 2209.293945 161.219864	1.651 4.923 -93.110
ttt_random_weapon	4259.621094 2159.996826 161.196365	1.916 4.929 -92.503
ttt_random_weapon	4162.843750 2156.703857 161.214767	1.709 4.925 -92.978
ttt_random_weapon	4167.416016 2210.159912 161.208115	1.784 4.928 -92.806
ttt_random_weapon	3941.431885 2276.368408 161.201584	1.857 4.928 -92.638
ttt_random_weapon	3937.066895 2218.999512 161.193970	1.943 4.925 -92.441
ttt_random_weapon	3947.709473 2171.560791 161.227234	1.568 4.917 -93.301
ttt_random_weapon	3954.697998 2107.333008 161.179642	1.104 4.469 -93.254
ttt_random_weapon	3894.036377 2575.368164 161.232895	1.504 4.911 -93.448
ttt_random_weapon	3896.285889 2449.800049 161.202271	1.850 4.928 -92.655
ttt_random_weapon	3881.520752 2355.159668 161.202972	1.842 4.927 -92.673
ttt_random_weapon	3800.799072 2333.255127 161.203644	1.834 4.930 -92.691
ttt_random_weapon	3788.431885 2427.420898 161.205612	1.812 4.928 -92.742
ttt_random_weapon	3811.474854 2538.432373 161.220718	1.642 4.922 -93.132
ttt_random_ammo	-1679.650146 2649.524414 -127.614937	0.261 0.003 0.175
ttt_random_ammo	-1616.798218 2645.753662 -127.600067	0.291 0.003 0.070
ttt_random_ammo	-1559.159668 2647.193115 -127.616577	0.262 0.003 0.181
ttt_random_ammo	-1508.207031 2625.674072 -127.621696	0.267 0.003 0.198
ttt_random_ammo	-1519.792847 2521.341553 -127.589333	0.477 -0.428 -0.585
ttt_random_ammo	-1515.088745 2463.307617 -127.618263	0.263 0.003 0.187
ttt_random_ammo	-1520.205933 2417.633789 -127.630806	0.281 0.003 0.221
ttt_random_ammo	-1633.556519 2429.796143 -127.517113	0.174 6.051 -0.481
ttt_random_ammo	-1579.943237 2437.734863 -127.517624	0.060 4.879 -0.381
ttt_random_ammo	-1574.407715 2479.554688 -127.646942	0.313 0.003 0.255
ttt_random_ammo	-1570.525391 2519.513184 -127.542206	0.427 1.870 0.299
ttt_random_ammo	-1597.234497 2592.951172 -127.504967	-0.004 -1.061 0.005
ttt_random_ammo	-1653.262573 2597.438232 -127.604210	0.272 0.003 0.112
ttt_random_ammo	-1676.305298 2541.173584 -127.623878	-0.089 0.000 0.046
ttt_random_ammo	-1666.221558 2474.958740 -127.593826	-0.605 -0.005 0.684
ttt_random_ammo	-1673.365601 2424.906982 -127.621704	0.267 0.003 0.198
ttt_random_ammo	-1665.846069 2379.826416 -127.660408	0.342 0.003 0.280
ttt_random_ammo	-1623.526001 2383.064941 -127.588440	0.600 0.002 -0.369
ttt_random_ammo	-1630.130737 2486.990967 -127.643738	-0.049 0.000 -0.013
ttt_random_ammo	-1627.273926 2566.196777 -127.537918	0.842 1.726 -0.535
ttt_random_ammo	-1555.806030 2579.797607 -127.618263	0.263 0.003 0.187
ttt_random_ammo	-1514.376709 2521.353271 -125.279480	88.558 116.042 94.804
ttt_random_ammo	-1558.959351 2381.818604 -127.572746	1.164 -2.230 -0.699
ttt_random_ammo	-1759.659180 2636.982666 -127.542839	1.090 -0.021 -1.179
ttt_random_ammo	-1786.073486 2531.674072 -127.596275	0.328 0.003 0.006
ttt_random_ammo	-1750.901978 2453.890381 -127.598770	0.302 0.003 0.050
ttt_random_ammo	-1740.209473 2399.561523 -127.607124	0.265 0.003 0.134
ttt_random_ammo	-1820.884155 2423.485596 -127.602798	0.277 0.003 0.099
ttt_random_ammo	-1836.549438 2498.972900 -127.610161	0.261 0.003 0.153
ttt_random_ammo	-1733.114014 2714.444092 -127.598785	0.303 0.003 0.048
ttt_random_ammo	-1734.608887 2569.603760 -127.653519	0.327 0.003 0.268
ttt_random_ammo	-1731.378540 2485.743896 -127.512924	0.948 -3.262 -1.148
ttt_random_ammo	4396.683594 2257.445068 160.402847	0.070 0.245 0.476
ttt_random_ammo	4267.808594 2259.939697 160.367950	-0.294 -0.003 0.235
ttt_random_ammo	4163.181152 2261.330078 160.387527	-0.265 -0.003 0.180
ttt_random_ammo	4094.555420 2261.843994 160.421310	-0.644 -0.002 -0.421
ttt_random_ammo	4036.399902 2264.049561 160.373596	-0.284 -0.003 0.222
ttt_random_ammo	3979.817139 2243.561279 160.400101	-0.280 -0.003 0.105
ttt_random_ammo	3981.243164 2197.809570 156.363312	0.294 0.003 0.235
ttt_random_ammo	3991.674316 2176.144287 156.381668	0.266 0.003 0.186
ttt_random_ammo	4020.336670 2156.195068 156.377045	-0.278 0.003 -0.212
ttt_random_ammo	4079.521973 2139.674072 156.369659	-0.291 0.003 -0.231
ttt_random_ammo	4117.799316 2189.161377 160.404556	-0.302 -0.003 0.059
ttt_random_ammo	4069.758789 2211.576660 156.451004	1.152 0.022 1.229
ttt_random_ammo	4033.261963 2223.933350 156.388199	0.264 0.003 0.159
ttt_random_ammo	4252.054688 2225.453125 160.387527	-0.265 -0.003 0.180
ttt_random_ammo	4208.214355 2217.866211 160.457687	-1.776 0.032 -1.909
ttt_random_ammo	4238.289551 2164.875488 160.344940	-0.344 -0.003 0.282
ttt_random_ammo	4301.728516 2137.989502 160.377060	-0.277 0.003 -0.213
ttt_random_ammo	4209.868164 2156.333740 160.385864	-0.266 -0.003 0.186
ttt_random_ammo	4260.512207 2076.493896 160.458572	-1.638 0.028 -1.754
ttt_random_ammo	4184.832031 2078.635010 160.416428	-0.479 -0.003 -0.204
ttt_random_ammo	4100.760742 2084.212158 160.373596	-0.284 -0.003 0.222
ttt_random_ammo	4017.847412 2085.940918 160.371750	-0.287 -0.003 0.226
