# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_abandoned_mall_2025_v3
# Exported by: Sc00by
setting:	replacespawns 1
ttt_random_weapon	1619.801270 2599.009033 1.221743	1.630 4.989 -93.159
ttt_random_weapon	1626.216919 2806.557617 1.231591	1.518 4.979 -93.414
ttt_random_weapon	1627.459961 3016.906738 1.225093	1.592 4.986 -93.245
ttt_random_weapon	1624.415039 3197.966553 1.232081	1.513 4.978 -93.427
ttt_random_weapon	1633.705688 3424.685303 1.221743	1.630 4.989 -93.159
ttt_random_weapon	1880.046875 3480.408936 1.154155	2.221 -129.122 -92.481
ttt_random_weapon	1999.289429 3482.941650 49.245060	1.366 4.650 -93.763
ttt_random_weapon	2040.397583 3482.997559 49.191177	1.975 4.719 -92.369
ttt_random_weapon	1959.684937 3485.420898 49.196907	1.910 4.718 -92.517
ttt_random_weapon	1330.737183 3269.657959 31.212490	1.734 4.770 -92.919
ttt_random_weapon	1329.121338 3294.668945 31.216188	1.623 4.180 -93.450
ttt_random_weapon	1334.409302 3323.726318 31.216549	1.689 4.767 -93.024
ttt_random_weapon	1333.239502 3345.232666 31.216373	1.305 6.786 -93.609
ttt_random_weapon	1319.352295 3351.647461 32.631760	-1.329 -8.444 -116.120
ttt_random_weapon	1305.596680 3349.526123 12.506683	-50.087 173.544 -92.775
ttt_random_weapon	1358.759155 3296.620850 31.902864	5.525 3.392 -96.425
ttt_random_weapon	1372.218384 3256.875244 31.233040	1.502 4.753 -93.451
ttt_random_weapon	1374.459595 3330.358887 31.219286	1.658 4.765 -93.095
ttt_random_weapon	1381.318237 3375.429199 31.192848	1.956 4.786 -92.412
ttt_random_weapon	2426.575684 2865.323975 1.217903	1.673 4.988 -93.059
ttt_random_weapon	2353.211426 2840.667480 1.219674	1.653 4.989 -93.105
ttt_random_weapon	2278.384277 2750.714111 1.216502	1.689 4.985 -93.023
ttt_random_weapon	2233.710693 2627.820557 1.224387	1.600 4.987 -93.227
ttt_random_weapon	2221.516846 2497.467529 1.223660	1.608 4.988 -93.208
ttt_random_weapon	2207.952637 2369.979004 1.224743	1.596 4.987 -93.236
ttt_random_weapon	2533.177246 2345.154541 1.231340	1.521 4.979 -93.407
ttt_random_weapon	3125.609131 1736.307373 1.247972	1.331 4.866 -93.841
ttt_random_weapon	3095.920654 1740.603027 1.703115	-2.495 9.568 85.322
ttt_random_weapon	3135.895508 1773.772095 1.600482	-1.314 5.827 82.631
ttt_random_weapon	3164.873047 1738.190552 1.196880	1.910 4.782 -92.516
ttt_random_weapon	3121.023193 1675.022095 1.220564	1.643 4.764 -93.128
ttt_random_weapon	1514.716919 1943.207886 22.495247	1.277 -28.762 -93.810
ttt_random_weapon	2180.756348 1700.420288 1.228643	1.552 4.757 -93.337
ttt_random_weapon	2180.129395 1653.708252 1.228347	1.555 4.758 -93.330
ttt_random_weapon	2245.455078 1642.089355 1.222950	1.616 4.762 -93.190
ttt_random_weapon	2180.141357 1576.205688 1.206038	1.807 4.775 -92.753
ttt_random_weapon	2136.085205 1640.724976 1.219286	1.658 4.765 -93.095
ttt_random_weapon	2656.553223 855.362610 1.224027	1.604 4.987 -93.218
ttt_random_weapon	604.285461 2166.334473 1.225438	1.588 4.986 -93.254
