# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_home_alone_1990
# Exported by: Sc00by
setting:	replacespawns 1
ttt_random_weapon	31.358173 -77.470863 2.442464	2.876 5.449 -94.616
ttt_random_weapon	86.745934 -72.590355 1.206587	1.801 4.443 -92.767
ttt_random_weapon	82.464607 -105.986847 1.226997	1.570 5.450 -93.295
ttt_random_weapon	30.290457 -111.938293 2.402678	2.777 4.860 -94.921
ttt_random_weapon	29.260603 -138.659882 2.435132	3.304 7.952 -93.178
ttt_random_weapon	69.260674 -134.891006 1.283273	2.849 -0.701 -92.842
ttt_random_weapon	28.859884 -172.947433 2.477742	3.370 5.459 -92.863
ttt_random_weapon	71.807976 -174.215363 1.271129	2.816 -0.793 -92.918
ttt_random_weapon	24.495140 -200.843552 2.488936	3.438 6.334 -91.772
ttt_random_weapon	60.687641 -202.950058 1.646907	2.742 4.874 -94.826
ttt_random_weapon	13.227164 -228.893341 2.768942	2.794 7.977 -93.390
ttt_random_weapon	52.248497 -228.288315 1.823533	2.741 6.044 -93.856
ttt_random_weapon	31.480520 81.729759 2.458857	2.631 5.397 -94.481
ttt_random_weapon	74.990402 88.836678 1.279370	2.782 -1.451 -92.637
ttt_random_weapon	32.414639 104.824142 2.546438	3.318 7.247 -91.651
ttt_random_weapon	68.196480 109.602249 1.508048	3.906 2.822 -93.320
ttt_random_weapon	30.583502 131.610413 2.930451	2.989 5.724 -92.031
ttt_random_weapon	70.396599 136.511215 1.542032	4.086 2.328 -93.475
ttt_random_weapon	32.655476 158.905045 3.285902	2.319 6.633 -93.411
ttt_random_weapon	71.673920 161.492737 1.531778	3.889 2.906 -92.843
ttt_random_weapon	37.909161 186.622864 3.052403	2.212 3.196 -96.462
ttt_random_weapon	69.636719 193.077774 1.754657	4.079 7.207 -92.151
ttt_random_weapon	31.226255 216.352783 3.151045	2.758 6.230 -92.906
ttt_random_weapon	72.672203 220.865616 1.605299	3.596 6.417 -91.280
ttt_random_weapon	-457.729889 -345.876007 49.146912	2.387 6.678 -91.328
ttt_random_weapon	-587.562134 -301.238525 49.224781	1.596 4.761 -93.237
ttt_random_weapon	-543.996643 -307.118103 49.197651	1.902 4.782 -92.536
ttt_random_weapon	-437.612030 94.590950 49.222179	1.625 4.763 -93.170
ttt_random_weapon	-324.324127 241.017548 82.225471	1.588 4.760 -93.255
ttt_random_weapon	-374.085754 236.988434 82.207909	1.786 4.774 -92.801
ttt_random_weapon	-295.772217 516.412598 49.196880	1.910 4.782 -92.516
ttt_random_weapon	-714.341187 63.667038 49.220100	1.648 4.988 -93.116
ttt_random_weapon	-643.136292 -9.638001 177.176056	2.099 5.703 -92.265
ttt_random_weapon	-552.725647 -258.287933 209.228256	1.556 4.877 -93.327
ttt_random_weapon	-362.870758 -528.056274 209.220551	1.643 4.764 -93.128
ttt_random_weapon	-365.845093 -493.414459 209.221771	1.629 4.763 -93.160
ttt_random_weapon	-217.902603 -169.127991 209.222168	1.625 4.763 -93.170
ttt_random_weapon	-368.752441 29.484844 369.193665	1.946 4.785 -92.434
ttt_random_weapon	-431.316589 27.961174 369.190277	1.985 4.788 -92.346
ttt_random_weapon	-429.943756 -19.023067 369.196869	1.910 4.782 -92.517
ttt_random_weapon	-361.878815 -17.692005 369.211395	1.747 4.771 -92.891
ttt_random_ammo	-426.417236 7.839271 368.376160	0.132 0.000 0.100
ttt_random_ammo	-395.440887 9.844603 368.370911	0.098 -0.000 -0.055
ttt_random_ammo	-368.590546 12.042075 368.385345	0.272 0.001 0.274
ttt_random_ammo	-393.392303 -15.725434 368.332794	0.046 -0.000 0.028
ttt_random_ammo	-399.575745 38.377724 368.374451	0.119 0.000 0.083
ttt_random_ammo	-651.193054 6.611585 176.376083	0.128 -0.000 -0.096
ttt_random_ammo	-634.908264 7.864653 176.376160	0.129 0.000 0.097
ttt_random_ammo	-206.745285 -183.546722 208.359512	0.062 0.000 0.006
ttt_random_ammo	-224.462677 -182.309723 208.376083	0.133 -0.000 -0.100
ttt_random_ammo	-375.761139 -517.059265 208.377823	0.149 0.001 0.121
ttt_random_ammo	-360.067444 -512.409241 208.344559	0.048 0.000 -0.019
ttt_random_ammo	-373.842224 -506.603241 208.376160	0.133 0.000 0.101
ttt_random_ammo	-363.035919 -503.246521 208.344559	0.048 0.000 -0.019
ttt_random_ammo	-546.740173 -279.561920 208.335236	0.046 -0.000 0.026
ttt_random_ammo	-429.121338 83.705513 48.356312	-0.056 -0.000 -0.003
ttt_random_ammo	-441.428375 81.710373 48.326015	-0.046 -0.000 -0.031
ttt_random_ammo	-467.841553 -335.743683 48.459671	-1.077 -0.028 1.300
ttt_random_ammo	-455.447815 -330.361938 48.354172	-0.054 -0.000 -0.007
ttt_random_ammo	-595.683167 -331.537170 48.360508	-0.062 -0.000 0.006
ttt_random_ammo	-586.283386 -319.567230 48.326012	-0.046 -0.000 -0.031
ttt_random_ammo	-568.628845 -315.394043 48.362564	-0.066 -0.000 0.012
