# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_squidgame_facility
# Exported by: Sc00by
setting:	replacespawns 1
weapon_ttt_smokegrenade	7688.205078 4883.072754 7168.202148	-0.579 -1.569 -0.583
weapon_ttt_smokegrenade	7777.649902 4892.669922 7168.176270	-1.129 -1.533 -1.147
weapon_ttt_smokegrenade	7918.628906 4899.650879 7168.162109	-1.435 -1.480 -1.459
weapon_ttt_smokegrenade	8031.194336 4904.138184 7168.158691	-1.501 -1.458 -1.527
weapon_ttt_smokegrenade	8121.112793 4907.827148 7168.203125	-0.560 -1.569 -0.567
weapon_ttt_smokegrenade	8218.537109 4911.814941 7168.143555	-1.825 -1.289 -1.857
ttt_random_weapon	7766.563965 4770.943848 7169.215332	1.697 4.927 -93.005
ttt_random_weapon	7816.932129 4771.364746 7169.234375	1.479 4.911 -93.503
ttt_random_weapon	7869.607422 4773.665527 7169.232910	1.496 4.912 -93.465
ttt_random_weapon	7911.198242 4775.392090 7169.206543	1.797 4.931 -92.776
ttt_random_weapon	7952.785645 4777.118164 7169.202637	1.841 4.929 -92.675
ttt_random_weapon	8005.465332 4779.299316 7169.189453	1.990 4.922 -92.333
ttt_random_weapon	8047.045898 4781.046387 7169.226074	1.575 4.919 -93.285
ttt_random_weapon	8052.444824 4725.365723 7169.198242	1.890 4.928 -92.564
ttt_random_weapon	8006.565918 4723.417969 7169.203613	1.826 4.930 -92.710
ttt_random_weapon	7964.977539 4721.663574 7169.211426	1.738 4.928 -92.911
ttt_random_weapon	7931.709961 4720.252441 7169.201660	1.849 4.929 -92.657
ttt_random_weapon	7887.350586 4718.377441 7169.201660	1.849 4.929 -92.657
ttt_random_weapon	7845.762207 4716.623047 7169.208008	1.776 4.929 -92.823
ttt_random_weapon	7804.174805 4714.866699 7169.211426	1.738 4.928 -92.911
ttt_random_weapon	7765.456543 4655.597656 7169.222656	1.614 4.922 -93.194
ttt_random_weapon	7798.369141 4653.513184 7169.224609	1.590 4.920 -93.250
ttt_random_weapon	7839.973633 4654.935547 7169.207520	1.783 4.929 -92.808
ttt_random_weapon	7884.334473 4656.764648 7169.212402	1.732 4.929 -92.925
ttt_random_weapon	7939.783203 4659.105957 7169.217285	1.676 4.926 -93.054
ttt_random_weapon	7984.146484 4660.969238 7169.195312	1.924 4.926 -92.484
ttt_random_weapon	8034.047852 4663.086426 7169.207520	1.783 4.929 -92.808
ttt_random_weapon	8049.733887 4596.640625 7169.215820	1.004 5.325 -93.808
ttt_random_weapon	8018.383301 4602.387695 7169.693848	-2.583 11.827 85.313
ttt_random_weapon	7972.573730 4591.409668 7169.244629	1.358 3.717 -93.794
ttt_random_weapon	7922.762207 4589.249023 7169.231445	1.511 4.914 -93.430
ttt_random_weapon	7870.087891 4587.013184 7169.216309	1.686 4.926 -93.030
ttt_random_weapon	7825.728516 4585.138184 7169.215820	1.692 4.926 -93.017
ttt_random_weapon	7786.912598 4583.501465 7169.227539	1.561 4.918 -93.317
ttt_random_weapon	8049.985352 4536.460449 7169.231445	1.511 4.914 -93.430
ttt_random_weapon	8005.019531 4534.512207 7169.208008	1.776 4.929 -92.823
